play_id,label_ja,label_ja_sort,label_ka,sort_ja,label_eng,label_eng_sort,first_staged,reference
23,Hana no ueno homare no ishibumi,Hana no ueno homare no ishibumi,花上野誉碑,はなのうえのほまれのいしぶみ,The Stone Monument of Glory,"Stone Monument of Glory, The",1789,"Bunraku November 1992, February 1974 Performance Programs; Bunka dejitaru raiburarii; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976)"
24,Heike nyōgo no shima,Heike nyogo no shima,平家女護島,へいけにょうごのしま,The Priest in Exile,"Priest in Exile, The",1719,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Bunraku February 1986, October 1986 Performance Programs; Traditional Japanese Theater: An Anthology of Plays, edited by Karen Brazell (New York: Columbia University Press, 1998)"
25,Hidakagawa iriai zakura,Hidakagawa iriai zakura,日高川入相花王,ひだかがわいりあいざくら,The Cherry Trees Along the Hidaka River,"Cherry Trees Along the Hidaka River, The",1759,"Traditional Japanese Theater: An Anthology of Plays, edited by Karen Brazell (New York: Columbia University Press, 1998), p. 506; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 177, May 1980; Bunraku May 1980 Performance Program"
26,Hiragana seisuiki,Hiragana seisuiki,ひらかな盛衰記,ひらがなせいすいき,The Battles of Genji and Heike,"Battles of Genji and Heike, The",1739,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 161, February 1979; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku November 1988, February 1979 Performance Program"
27,Honchō nijūshikō,Honcho nijushiko,本朝廿四孝,ほんちょうにじゅうしこう,The Twenty-Four Dutiful Sons,"Twenty-Four Dutiful Sons, The",1766,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 221, December 1983; Bunraku December 1983 Performance Program; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976)"
28,Horikawa nami no tsuzumi,Horikawa nami no tsuzumi,堀川波の鼓,ほりかわなみのつづみ,The Drum of the Waves of Horikawa,"Drum of the Waves of Horikawa, The",1707 (宝永4),"Major Plays of Chikamatsu, translated by Donald Keene, (New York: Columbia University Press, 1961); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 212, February 1983; Bunraku February 1983 Performance Program"
29,Iga-goe dōchū sugoroku,Iga-goe dochu sugoroku,伊賀越道中双六,いがごえどうちゅうすごろく,The Vendetta in Iga,"Vendetta in Iga, The",1783,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 252, May 1986; Bunraku April 1992 Performance Program"
30,Kagamiyama kokyō no nishikie,Kagamiyama kokyo no nishikie,加賀見山旧錦絵,かがみやまこきょうのにしきえ,The Color Prints of Kagamiyama,"Color Prints of Kagamiyama, The",1782,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 203, May 1982; Bunraku May 1982 Performance Program"
31,Kanjinchō,Kanjincho,勧進帳,かんじんちょう,The Subscription List,"Subscription List, The",1895,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku July 1990 Performance Program"
32,Katsuragawa renri no shigarami,Katsuragawa renri no shigarami,桂川連理柵,かつらがわれんりのしがらみ,The Love of Ohan and Choemon,"Love of Ohan and Choemon, The",1776,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 168, September 1979; Bunraku March 1976, November 1985 Performance Programs"
